city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
"'S GRAVENMOER",999,9.82,100,0.207,2020
"'S GRAVENMOER",1026,7.35,100,0.219,2019
"'S GRAVENMOER",1026,5.96,100,0.221,2018
'S-GRAVENZANDE,10046,11.55,99.19,2.064,2020
'S-GRAVENZANDE,9664,5.51,99.68,2.156,2018
'S-GRAVENZANDE,8834,2.19,99.99,2.591,2019
'S-HERTOGENBOSCH,54462,4.8,100,9.789,2019
'S-HERTOGENBOSCH,53948,3.56,100,9.9,2018
'S-HERTOGENBOSCH,55074,7.4,100,9.526,2020
AARLE-RIXTEL,2445,8.14,100,0.601,2018
AARLE-RIXTEL,2464,15.78,100,0.581,2020
AARLE-RIXTEL,2467,11.34,100,0.599,2019
ACHTMAAL,719,14.81,100,0.261,2020
ACHTMAAL,749,11.6,100,0.26,2019
ACHTMAAL,747,9.36,100,0.263,2018
"AFFERDEN LB",334,16.85,100,0.099,2020
"AFFERDEN LB",911,10.74,100,0.258,2018
"AFFERDEN LB",354,11.98,100,0.097,2019
ALMELO,3105,8.75,97.31,0.524,2020
ALMELO,32820,3.87,98.5,6.109,2018
ALMELO,34394,6.46,98.13,6.108,2019
ALMKERK,1578,12.34,100,0.411,2018
ALMKERK,1603,21.36,100,0.387,2020
ALMKERK,1607,16.27,100,0.402,2019
"ALPHEN NB",2128,10.18,100,0.658,2020
"ALPHEN NB",2120,5.32,100,0.684,2018
"ALPHEN NB",2133,6.65,100,0.668,2019
AMSTERDAM,503466,1.85,89.2,52.946,2019
AMSTERDAM,510971,2.57,88.99,52.349,2020
AMSTERDAM,495291,1.44,89.63,53.167,2018
"AMSTERDAM ZUIDOOST",12700,1.83,41.51,1.191,2018
"AMSTERDAM ZUIDOOST",12176,0.89,38.73,1.092,2019
"AMSTERDAM ZUIDOOST",14232,2.44,40.64,1.305,2020
AMSTERDAM-DUIVENDRECHT,450,8.93,80.65,0.046,2019
AMSTERDAM-DUIVENDRECHT,451,7.72,78.87,0.05,2018
AMSTERDAM-DUIVENDRECHT,624,10.46,69.98,0.05,2020
ANDEL,1015,12.07,100,0.256,2020
ANDEL,991,5.44,100,0.268,2018
ANDEL,1022,7.24,100,0.269,2019
ASTEN,5820,6.18,100,1.579,2018
ASTEN,5851,9.81,100,1.559,2019
ASTEN,5862,13.5,100,1.516,2020
BAARLE-NASSAU,3120,6.31,100,0.733,2019
BAARLE-NASSAU,3115,4.25,100,0.774,2018
BAARLE-NASSAU,3073,9.39,100,0.733,2020
BABYLONIENBROEK,161,10.37,100,0.07,2019
BABYLONIENBROEK,161,14.27,100,0.069,2020
BABYLONIENBROEK,161,5.3,100,0.077,2018
BAKEL,2244,9.44,100,0.729,2019
BAKEL,2247,7.43,100,0.744,2018
BAKEL,2245,13.87,100,0.715,2020
BAVEL,3373,7,100,0.847,2018
BAVEL,3417,8.86,100,0.821,2020
BAVEL,3415,4.7,100,0.835,2019
"BEEK EN DONK",4891,14.76,100,1.051,2020
"BEEK EN DONK",4782,9.96,100,1.073,2019
"BEEK EN DONK",4773,6.17,100,1.073,2018
"BEERS NB",735,14.99,100,0.262,2019
"BEERS NB",754,23.99,100,0.248,2020
"BEERS NB",736,12.33,100,0.266,2018
BERGEIJK,5000,9.71,100,1.368,2019
BERGEIJK,5025,14.56,100,1.327,2020
BERGEIJK,4927,6.57,100,1.354,2018
"BERGEN OP ZOOM",26219,14.48,100,4.42,2020
"BERGEN OP ZOOM",25511,10.16,100,4.544,2018
"BERGEN OP ZOOM",25823,11.7,100,4.478,2019
BERGHEM,3952,11.95,100,0.8,2019
BERGHEM,3988,18.88,100,0.767,2020
BERGHEM,3902,7.76,100,0.812,2018
BERKEL-ENSCHOT,5244,16.42,100,1.084,2020
BERKEL-ENSCHOT,5008,9.52,100,1.101,2019
BERKEL-ENSCHOT,4939,6.91,100,1.092,2018
"BERLICUM NB",4150,17.64,100,1.058,2020
"BERLICUM NB",4168,11.25,100,1.047,2019
"BERLICUM NB",4155,8.43,100,1.057,2018
BEST,13330,18.82,100,2.706,2020
BEST,12975,7.9,100,2.84,2018
BEST,13081,11.66,100,2.736,2019
BEUGEN,773,10.91,100,0.265,2018
BEUGEN,774,14.15,100,0.271,2019
BEUGEN,762,21.32,100,0.259,2020
BIEST-HOUTAKKER,393,22.1,100,0.158,2020
BIEST-HOUTAKKER,375,15.54,100,0.17,2019
BIEST-HOUTAKKER,374,10.57,100,0.169,2018
BIEZENMORTEL,459,20.13,100,0.211,2020
BIEZENMORTEL,461,16.93,100,0.218,2019
BIEZENMORTEL,458,13.62,100,0.219,2018
BLADEL,4844,8.84,100,1.214,2019
BLADEL,4836,7.19,100,1.189,2018
BLADEL,4878,11.91,100,1.183,2020
BOEKEL,3566,10.94,100,1.077,2019
BOEKEL,3644,15.73,100,1.042,2020
BOEKEL,3522,7.95,100,1.095,2018
BOSSCHENHOOFD,1095,5.94,100,0.32,2018
BOSSCHENHOOFD,1121,9.29,100,0.315,2019
BOSSCHENHOOFD,1114,12.49,100,0.308,2020
BOXMEER,5820,5.57,100,1.222,2018
BOXMEER,5948,12.94,100,1.153,2020
BOXMEER,5869,8.05,100,1.199,2019
BOXTEL,11552,11.03,100,2.408,2018
BOXTEL,11510,14.05,100,2.357,2019
BOXTEL,11584,18.11,100,2.281,2020
BREDA,72667,4.24,100,11.884,2019
BREDA,72641,5.87,100,11.544,2020
BREDA,72550,2.92,100,12.109,2018
CASTELRE,81,13.79,100,0.016,2019
CASTELRE,21,4.76,100,0.005,2018
CASTELRE,82,15.38,100,0.02,2020
CASTENRAY,359,25.08,100,0.172,2020
CASTENRAY,361,20.01,100,0.174,2019
CASTENRAY,360,15.33,100,0.178,2018
CASTEREN,420,11.73,100,0.117,2018
CASTEREN,433,21.44,100,0.109,2020
CASTEREN,423,15.5,100,0.11,2019
CHAAM,1952,12.06,100,0.538,2020
CHAAM,1956,8.91,100,0.544,2019
CHAAM,1933,7.35,100,0.538,2018
CROMVOIRT,334,8.42,100,0.107,2019
CROMVOIRT,332,7.16,100,0.106,2018
CROMVOIRT,334,12.66,100,0.104,2020
CUIJK,8386,7.85,100,1.449,2019
CUIJK,8389,4.99,100,1.501,2018
CUIJK,8567,14.11,100,1.418,2020
"DE HEEN",338,11.22,100,0.16,2018
"DE HEEN",340,19.93,100,0.157,2020
"DE HEEN",338,13.49,100,0.164,2019
"DE LIER",5415,6.54,99.48,1.255,2018
"DE LIER",4887,2.6,99.94,1.542,2019
"DE LIER",5485,11.71,99.7,1.118,2020
"DE MOER",257,9.15,100,0.104,2020
"DE MOER",255,6.66,100,0.11,2019
"DE MOER",253,4.26,100,0.109,2018
"DE MORTEL",634,14.01,100,0.372,2019
"DE MORTEL",631,10.58,100,0.361,2018
"DE MORTEL",637,19.25,100,0.345,2020
"DE RIPS",494,14.98,100,0.25,2019
"DE RIPS",494,10.61,100,0.253,2018
"DE RIPS",491,17.55,100,0.236,2020
DELFT,1974,8.77,86.5,0.248,2018
DELFT,272,0,75,0.037,2018
DELFT,574,7.81,99.91,0.104,2019
DELFT,47504,16.33,99.1,7.607,2020
DEMEN,65,15.42,100,0.03,2019
DEMEN,67,18.1,100,0.03,2020
DEMEN,50,13.33,100,0.024,2018
"DEN DUNGEN",1896,15.02,100,0.422,2019
"DEN DUNGEN",1897,12.13,100,0.435,2018
